model,best_params,best_cv_pr_auc_for_selection,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std
DecisionTree,"{""clf__max_depth"": 10, ""clf__min_samples_leaf"": 10, ""clf__min_samples_split"": 2}",0.5394167363038183,0.9597408296720271,0.002969924297837679,0.65546640866843,0.025784903551118322,0.4906072017677632,0.06183444169627613,0.5598196307647847,0.04999274992228161,0.9089728979015976,0.013565723898101815,0.5770875346819526,0.040825892917099225
SVM,"{""clf__C"": 10.0, ""clf__gamma"": ""auto""}",0.6470374824439569,0.9159913977611011,0.0048215580742541194,0.3732499033152368,0.015040900582191796,0.8744327907628147,0.025993193748488633,0.5229566546848052,0.016127903292192564,0.956886246257943,0.007865466463232431,0.6711131453895374,0.01567151045012657
IsolationForest,"{""clf__contamination"": 0.03, ""clf__max_samples"": 1.0, ""clf__n_estimators"": 100}",0.030664694704970026,0.5380364217496738,0.002815786944800132,0.09065226422933112,0.002748290055428539,0.8618001307148859,0.027067556317272028,0.1640483395636781,0.004990239849859507,0.7942359461374784,0.025082753681461067,0.2884035211307779,0.04883937728177565
