model,best_params,best_cv_pr_auc_for_selection,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std
DecisionTree,"{""clf__max_depth"": 10, ""clf__min_samples_leaf"": 10, ""clf__min_samples_split"": 2}",0.5391931884721318,0.9599901026259117,0.002797069541274252,0.6611367458480581,0.02550158334492735,0.4882356602657869,0.059410499254457315,0.5602791171596851,0.047735468772505014,0.9109625410058483,0.012671054430672077,0.5836277637113744,0.036373605597850515
SVM,"{""clf__C"": 10.0, ""clf__gamma"": ""auto""}",0.6470453087563687,0.9161991597504026,0.004464165477978985,0.3731944115984041,0.013955001372857498,0.8689023061840591,0.027853849685852687,0.5219178623801676,0.015272588094663123,0.9568246601453447,0.007888192931603548,0.6709829203830159,0.01582406715702511
IsolationForest,"{""clf__contamination"": 0.03, ""clf__max_samples"": 1.0, ""clf__n_estimators"": 100}",0.030467646041188883,0.5399476352431801,0.002991071699698347,0.09256335687577899,0.0029188480382634436,0.8799757243783262,0.028881181718918698,0.1675068731580925,0.005302499115185131,0.8016605490089315,0.024263616339838496,0.29031771733588946,0.045374168484108676
